date,name,code,close,trading_value_billion
20260522,삼화콘덴서,001820,102000,5440
20260522,주성엔지니어링,036930,224000,14011
20260522,빛과전자,069540,6610,2547
20260522,대주전자재료,078600,156400,2404
20260521,현대모비스,012330,656000,17459
20260521,LG전자,066570,232000,30856
20260521,제주반도체,080220,117800,9492
20260521,심텍,222800,122400,3271
20260521,엑스게이트,356680,19400,2650
20260520,삼화콘덴서,001820,76100,4550
20260519,삼진제약,005500,24400,2455
20260519,코스모로보틱스,439960,48600,12314
20260518,가온전선,000500,380000,3081
20260518,현대해상,001450,38550,2094
20260518,LS,006260,559000,4861
20260518,주성엔지니어링,036930,182200,7471
20260515,두산로보틱스,454910,132100,23767
20260514,LG씨엔에스,064400,90300,19934
20260514,제주반도체,080220,75600,7708
20260513,현대모비스,012330,668000,21727
20260513,두산테스나,131970,176100,2028
20260512,코스모로보틱스,439960,31200,3412
20260511,한온시스템,018880,5730,8607
20260511,대한광통신,010170,27950,22534
20260511,로보티즈,108490,387000,7917
20260508,현대오토에버,307950,592000,14900
20260508,두산퓨얼셀,336260,84100,4611
20260508,현대무벡스,319400,37700,19018
20260508,마녀공장,439090,17820,2329
20260507,삼성E&A,028050,64900,21522
20260507,오이솔루션,138080,54000,2941
20260507,나우로보틱스,459510,34600,2494
20260506,유안타증권,003470,7830,2387
20260506,미래에셋증권,006800,86300,39224
20260506,SKC,011790,161200,9492
20260506,삼성물산,028260,384000,9493
20260506,두산퓨얼셀,336260,78700,6480
20260506,켐트로닉스,089010,46250,4129
20260506,필옵틱스,161580,63200,6972
20260506,드림시큐리티,203650,3755,3081
20260506,엑스게이트,356680,18230,5621
20260506,한빛레이저,452190,10010,2159
20260504,삼성증권,016360,139700,9835
20260504,산일전기,062040,329000,15920
20260504,일진전기,103590,144600,7921
20260504,SK스퀘어,402340,999000,20766
20260504,보성파워텍,006910,14350,6435
20260504,제룡전기,033100,91500,6722
20260504,LS마린솔루션,060370,49550,3408
20260430,대원전선,006340,15050,12718
20260430,남해화학,025860,11740,5094
20260430,산일전기,062040,263500,13910
20260429,대원전선,006340,13090,10491
20260429,롯데케미칼,011170,116600,2873
20260429,LS에코에너지,229640,89800,2997
20260429,채비,0011T0,22550,29276
20260429,제룡전기,033100,70000,3149
20260429,비나텍,126340,183400,2266
20260428,TCC스틸,002710,23950,2661
20260428,휴스틸,005010,6740,2311
20260428,넥스틸,092790,21600,3073
20260427,명신산업,009900,14360,2426
20260427,한미반도체,042700,376000,40298
20260427,한화엔진,082740,88500,6492
20260427,일진전기,103590,114400,3993
20260427,대한광통신,010170,16020,10220
20260427,서울반도체,046890,14540,4516
20260427,로보티즈,108490,357500,9580
20260427,와이제이링크,209640,9050,2342
20260424,OCI홀딩스,010060,374500,9985
20260424,HD현대마린엔진,071970,115400,3870
20260424,대덕전자,353200,115200,2710
20260424,아주IB투자,027360,18720,6502
20260424,SFA반도체,036540,9640,4422
20260424,대주전자재료,078600,179600,6956
20260424,제주반도체,080220,54000,10969
20260424,휴림로봇,090710,13250,6090
20260424,고영,098460,42300,12208
20260423,대원전선,006340,8140,10265
20260423,솔루스첨단소재,336370,16100,2578
20260422,삼아알미늄,006110,73000,3203
20260422,이수페타시스,007660,160300,21647
20260422,LG이노텍,011070,522000,5991
20260422,DS단석,017860,26250,2996
20260422,애경케미칼,161000,18700,7415
20260422,아주IB투자,027360,14150,5301
20260422,미래에셋벤처투자,100790,57700,7626
20260422,두산테스나,131970,129500,2782
20260421,삼성SDI,006400,644000,35524
20260421,HD현대마린솔루션,443060,227500,2109
20260421,주성엔지니어링,036930,118900,11044
20260421,한중엔시에스,107640,72500,4013
20260421,씨아이에스,222080,16310,6682
20260421,필에너지,378340,20950,2797
20260420,DB하이텍,000990,124300,2821
20260420,주성엔지니어링,036930,91500,8266
20260420,드림시큐리티,203650,3880,2214
20260417,STX엔진,077970,44000,2828
20260417,후성,093370,13630,11718
20260417,빛과전자,069540,5860,3676
20260417,미래에셋벤처투자,100790,46300,10028
20260416,OCI홀딩스,010060,295500,8293
20260416,SKC,011790,119500,5926
20260416,비에이치,090460,28750,2041
20260416,에스투더블유,488280,25050,2671
20260415,대한전선,001440,41250,16166
20260415,대원전선,006340,6540,4297
20260415,삼성에스디에스,018260,189500,5325
20260415,대우건설,047040,28500,25235
20260415,대주전자재료,078600,139900,2181
20260414,OCI홀딩스,010060,231000,3970
20260414,아주IB투자,027360,11330,3432
20260414,파워넷,037030,8470,2499
20260414,미래에셋벤처투자,100790,38900,2321
20260414,엑스게이트,356680,9990,2389
20260414,퀄리타스반도체,432720,20550,2351
20260413,남선알미늄,008350,2865,5249
20260413,조일알미늄,018470,1917,2672
20260413,산일전기,062040,175000,4020
20260413,티엠씨,217590,31450,2721
20260413,우리로,046970,9990,3114
20260413,우리넷,115440,16900,2078
20260413,세미파이브,490470,36500,5104
20260410,대한해운,005880,3090,4529
20260410,신성이엔지,011930,37850,5152
20260410,대한광통신,010170,17770,15051
20260410,쏠리드,050890,17080,7648
20260409,광전자,017900,10530,3786
20260409,빛과전자,069540,4225,2283
20260409,머큐리,100590,8800,2341
20260408,현대건설,000720,189400,20077
