date,name,code,close,trading_value_billion,daily_return_pct,is_new_listing
20260522,삼화콘덴서,1820,102000,5440,30.77%,N
20260522,주성엔지니어링,36930,224000,14011,20.89%,N
20260521,제주반도체,80220,117800,9492,19.11%,N
20260521,심텍,222800,122400,3271,15.47%,N
20260520,삼화콘덴서,1820,76100,4550,18.91%,N
20260515,두산로보틱스,454910,132100,23767,22.20%,N
20260514,제주반도체,80220,75600,7708,32.63%,N
20260513,현대모비스,12330,668000,21727,23.93%,N
20260513,두산테스나,131970,176100,2028,36.30%,N
20260512,코스모로보틱스,439960,31200,3412,23.08%,Y
20260511,한온시스템,18880,5730,8607,18.14%,N
20260511,대한광통신,10170,27950,22534,19.44%,N
20260511,로보티즈,108490,387000,7917,15.87%,N
20260508,현대오토에버,307950,592000,14900,27.31%,N
20260508,두산퓨얼셀,336260,84100,4611,15.05%,N
20260507,삼성E&A,28050,64900,21522,18.65%,N
20260507,오이솔루션,138080,54000,2941,20.27%,N
20260506,유안타증권,3470,7830,2387,15.32%,N
20260506,미래에셋증권,6800,86300,39224,20.87%,N
20260506,SKC,11790,161200,9492,28.96%,N
20260506,삼성물산,28260,384000,9493,20.00%,N
20260506,두산퓨얼셀,336260,78700,6480,29.02%,N
20260506,켐트로닉스,89010,46250,4129,20.92%,N
20260506,필옵틱스,161580,63200,6972,28.98%,N
20260506,엑스게이트,356680,18230,5621,18.38%,N
20260506,한빛레이저,452190,10010,2159,16.67%,N
20260504,삼성증권,16360,139700,9835,28.28%,N
20260504,산일전기,62040,329000,15920,20.73%,N
20260504,일진전기,103590,144600,7921,18.04%,N
20260504,SK스퀘어,402340,999000,20766,16.43%,N
20260504,보성파워텍,6910,14350,6435,16.76%,N
20260504,제룡전기,33100,91500,6722,30.34%,N
20260504,LS마린솔루션,60370,49550,3408,28.87%,N
20260430,대원전선,6340,15050,12718,16.04%,N
20260430,남해화학,25860,11740,5094,22.42%,N
20260430,산일전기,62040,263500,13910,17.11%,N
20260429,대원전선,6340,13090,10491,29.99%,N
20260429,롯데케미칼,11170,116600,2873,20.33%,N
20260429,LS에코에너지,229640,89800,2997,22.18%,N
20260429,채비,0011T0,22550,29276,47.87%,Y
20260429,제룡전기,33100,70000,3149,18.04%,N
20260429,비나텍,126340,183400,2266,24.76%,N
20260428,TCC스틸,2710,23950,2661,26.25%,N
20260428,휴스틸,5010,6740,2311,16.61%,N
20260428,넥스틸,92790,21600,3073,29.89%,N
20260427,명신산업,9900,14360,2426,15.99%,N
20260427,한미반도체,42700,376000,40298,24.09%,N
20260427,한화엔진,82740,88500,6492,15.99%,N
20260427,일진전기,103590,114400,3993,17.45%,N
20260427,와이제이링크,209640,9050,2342,15.14%,N
20260424,OCI홀딩스,10060,374500,9985,20.03%,N
20260424,HD현대마린엔진,71970,115400,3870,19.46%,N
20260424,대덕전자,353200,115200,2710,15.55%,N
20260424,아주IB투자,27360,18720,6502,28.31%,N
20260424,SFA반도체,36540,9640,4422,22.03%,N
20260424,대주전자재료,78600,179600,6956,27.02%,N
20260424,제주반도체,80220,54000,10969,17.90%,N
20260424,고영,98460,42300,12208,22.08%,N
20260423,대원전선,6340,8140,10265,17.29%,N
20260423,솔루스첨단소재,336370,16100,2578,19.52%,N
20260422,삼아알미늄,6110,73000,3203,19.28%,N
20260422,이수페타시스,7660,160300,21647,19.63%,N
20260422,LG이노텍,11070,522000,5991,22.82%,N
20260422,애경케미칼,161000,18700,7415,19.80%,N
20260422,아주IB투자,27360,14150,5301,16.46%,N
20260422,미래에셋벤처투자,100790,57700,7626,22.12%,N
20260422,두산테스나,131970,129500,2782,19.91%,N
20260421,삼성SDI,6400,644000,35524,16.88%,N
20260421,주성엔지니어링,36930,118900,11044,23.98%,N
20260421,한중엔시에스,107640,72500,4013,28.77%,N
20260421,씨아이에스,222080,16310,6682,26.04%,N
20260421,필에너지,378340,20950,2797,23.16%,N
20260420,DB하이텍,990,124300,2821,16.28%,N
20260420,주성엔지니어링,36930,91500,8266,27.26%,N
20260420,드림시큐리티,203650,3880,2214,22.20%,N
20260417,후성,93370,13630,11718,17.70%,N
20260417,미래에셋벤처투자,100790,46300,10028,16.04%,N
20260416,OCI홀딩스,10060,295500,8293,26.01%,N
20260416,비에이치,90460,28750,2041,18.07%,N
20260415,대한전선,1440,41250,16166,26.53%,N
20260415,대우건설,47040,28500,25235,18.75%,N
20260415,대주전자재료,78600,139900,2181,16.49%,N
20260414,OCI홀딩스,10060,231000,3970,19.26%,N
20260414,아주IB투자,27360,11330,3432,25.75%,N
20260414,파워넷,37030,8470,2499,19.30%,N
20260414,미래에셋벤처투자,100790,38900,2321,27.96%,N
20260414,퀄리타스반도체,432720,20550,2351,25.46%,N
20260413,남선알미늄,8350,2865,5249,21.40%,N
20260413,조일알미늄,18470,1917,2672,19.81%,N
20260413,티엠씨,217590,31450,2721,20.27%,Y
20260413,우리넷,115440,16900,2078,28.22%,N
20260410,신성이엔지,11930,37850,5152,18.28%,N
20260410,대한광통신,10170,17770,15051,22.64%,N
20260410,쏠리드,50890,17080,7648,17.63%,N
20260409,광전자,17900,10530,3786,21.03%,N
20260409,빛과전자,69540,4225,2283,25.93%,N
20260409,머큐리,100590,8800,2341,16.71%,N
20260408,현대건설,720,189400,20077,18.45%,N
20260408,GS건설,6360,37400,11614,27.21%,N
20260408,대우건설,47040,22550,19204,20.07%,N
20260408,전진건설로봇,79900,71600,5269,16.99%,N
20260408,DL이앤씨,375500,96700,12135,23.18%,N
20260408,심텍,222800,69200,2809,17.89%,N
20260407,풍산홀딩스,5810,58300,6944,23.39%,N
20260407,창해에탄올,4650,12010,2035,15.48%,N
20260406,남선알미늄,8350,2130,4248,17.42%,N
20260406,보원케미칼,0010F0,11070,2943,24.38%,Y
20260403,신성이엔지,11930,34450,6563,19.41%,N
20260403,HD현대에너지솔루션,322000,191100,5906,31.79%,N
20260403,SK이터닉스,475150,67900,17352,23.45%,N
20260402,흥아해운,3280,4470,13373,20.16%,N
20260401,대우건설,47040,19430,14859,15.11%,N
20260401,동국제약,86450,28850,2532,22.25%,N
20260331,삼아알미늄,6110,40200,3323,22.19%,N
20260330,애경케미칼,161000,14820,5304,30.00%,N
20260330,티이엠씨,425040,12970,2234,20.43%,N
20260327,미래에셋벤처투자,100790,32550,7110,16.25%,N
20260326,에코플라스틱,38110,4230,2814,17.50%,N
20260326,셀바스AI,108860,16340,8514,21.04%,N
20260325,코리아써키트,7810,80200,2039,21.70%,N
20260325,DL이앤씨,375500,71000,7182,15.45%,N
20260325,아주IB투자,27360,8520,3238,27.16%,N
20260325,쏠리드,50890,15910,7933,16.56%,N
20260324,파이버프로,368770,21350,2385,25.37%,N
20260323,한텍,98070,56700,3362,20.00%,N
20260320,SK증권,1510,5175,11658,15.64%,N
20260320,GS건설,6360,33450,6758,28.16%,N
20260320,삼성E&A,28050,39800,5021,21.34%,N
20260320,우진,105840,31200,2214,17.29%,N
20260320,DL이앤씨,375500,67400,4381,27.89%,N
20260320,태웅,44490,58600,4842,28.79%,N
20260320,오르비텍,46120,13700,2348,16.10%,N
20260319,씨에스윈드,112610,67700,3178,15.73%,N
20260319,SK이터닉스,475150,54700,17464,27.65%,N
20260318,GS건설,6360,26350,2472,17.11%,N
20260318,대우건설,47040,14870,16105,20.70%,N
20260318,우리기술,32820,29300,20974,18.62%,N
20260318,로킷헬스케어,376900,128700,2238,27.93%,Y
20260318,큐리옥스바이오시스템즈,445680,141500,2335,23.04%,N
20260317,신성이엔지,11930,29100,2847,25.43%,N
20260317,아주IB투자,27360,7480,3443,16.15%,N
20260313,대우건설,47040,12320,10690,19.50%,N
20260313,우리기술,32820,24450,14368,16.43%,N
20260313,LS머트리얼즈,417200,22850,8650,22.13%,N
20260312,HD현대에너지솔루션,322000,130700,10106,26.65%,N
20260312,두산퓨얼셀,336260,49250,4008,20.12%,N
20260312,SK이터닉스,475150,37350,8314,31.51%,N
20260311,대한광통신,10170,7160,4526,18.94%,N
20260311,쏠리드,50890,11710,3601,24.57%,N
20260311,RFHIC,218410,89100,6159,19.28%,N
20260311,로킷헬스케어,376900,97300,3011,25.23%,Y
20260310,대한광통신,10170,5510,2905,19.52%,N
20260310,성호전자,43260,49400,3090,20.49%,N
20260310,태웅,44490,50900,4007,29.02%,N
20260306,대주전자재료,78600,115200,4567,18.52%,N
20260306,비에이치아이,83650,95900,2257,18.84%,N
20260305,흥아해운,3280,2815,6348,22.93%,N
20260305,대성에너지,117580,12700,2453,21.53%,N
20260305,흥구석유,24060,32700,16565,26.50%,N
20260305,주성엔지니어링,36930,66800,2832,17.19%,N
20260304,한일사료,5860,4330,2240,15.31%,N
20260303,한화에어로스페이스,12450,1503000,41776,18.53%,N
20260303,LIG디펜스앤에어로스페이스,79550,661000,14843,16.37%,N
20260303,한화시스템,272210,147600,35534,25.62%,N
20260227,현대제철,4020,47100,12176,20.77%,N
20260227,현대위아,11210,107000,4375,16.05%,N
20260227,한미반도체,42700,316000,43629,17.04%,N
