날짜,종목코드,종목명,기준봉종가
2020-06-08,000020,동화약품,15350
2020-07-20,000020,동화약품,23050
2020-08-03,000020,동화약품,29350
2020-08-10,000020,동화약품,21200
2018-11-05,000100,유한양행,36096
2020-08-03,000100,유한양행,56005
2020-12-21,000100,유한양행,61622
2024-07-01,000100,유한양행,89500
2024-07-08,000100,유한양행,94900
2024-07-15,000100,유한양행,95400
2024-08-19,000100,유한양행,106600
2024-08-26,000100,유한양행,141000
2024-09-02,000100,유한양행,125600
2024-09-19,000100,유한양행,145400
2024-09-23,000100,유한양행,146100
2024-10-07,000100,유한양행,161300
2024-10-14,000100,유한양행,155300
2023-07-31,000150,두산,107400
2023-09-11,000150,두산,133900
2025-05-12,000150,두산,405000
2025-06-09,000150,두산,563000
2025-06-16,000150,두산,600000
2025-06-23,000150,두산,652000
2025-06-30,000150,두산,542000
2025-10-13,000150,두산,678000
2025-10-20,000150,두산,801000
2025-10-27,000150,두산,966000
2025-11-03,000150,두산,915000
2025-11-10,000150,두산,909000
2026-02-23,000150,두산,1264000
2026-04-06,000150,두산,1282000
2026-04-13,000150,두산,1335000
2026-04-20,000150,두산,1540000
2026-04-27,000150,두산,1595000
2026-05-04,000150,두산,1745000
2021-04-12,000220,유유제약,16600
2022-04-11,000230,일동홀딩스,30550
2022-04-18,000230,일동홀딩스,51600
2020-08-24,000240,한국앤컴퍼니,15150
2020-08-10,000270,기아,44400
2020-09-14,000270,기아,47800
2020-10-05,000270,기아,50900
2020-10-26,000270,기아,50500
2020-11-09,000270,기아,59200
2020-11-30,000270,기아,65400
2021-01-04,000270,기아,68300
2021-01-11,000270,기아,71100
2021-01-18,000270,기아,87800
2021-02-01,000270,기아,101500
2023-04-24,000270,기아,84500
2023-05-08,000270,기아,89400
2023-12-18,000270,기아,95600
2024-01-29,000270,기아,119500
2024-02-05,000270,기아,113200
2024-02-19,000270,기아,118400
2024-02-26,000270,기아,124500
2024-03-04,000270,기아,128400
2024-03-11,000270,기아,125000
2024-06-17,000270,기아,127900
2025-07-28,000270,기아,101000
2025-10-20,000270,기아,115200
2025-10-27,000270,기아,120400
2026-01-05,000270,기아,132900
2026-01-12,000270,기아,152500
2026-01-19,000270,기아,158700
2026-02-23,000270,기아,206000
2023-07-03,000430,대원강업,6340
2023-09-04,000490,대동,18390
2026-02-02,000490,대동,11360
2024-04-08,000500,가온전선,44650
2024-05-07,000500,가온전선,65200
2026-05-11,000500,가온전선,338500
2025-12-01,000650,천일고속,413000
2016-09-05,000660,SK하이닉스,38950
2016-09-19,000660,SK하이닉스,39350
2016-09-26,000660,SK하이닉스,40200
2016-10-04,000660,SK하이닉스,42200
2016-10-24,000660,SK하이닉스,42450
2016-11-21,000660,SK하이닉스,42600
2016-11-28,000660,SK하이닉스,44400
2016-12-05,000660,SK하이닉스,45500
2017-01-02,000660,SK하이닉스,48000
2017-01-09,000660,SK하이닉스,50300
2017-01-23,000660,SK하이닉스,53300
2017-01-31,000660,SK하이닉스,53700
2017-05-08,000660,SK하이닉스,55300
2017-05-29,000660,SK하이닉스,57100
2017-06-12,000660,SK하이닉스,60500
2017-06-19,000660,SK하이닉스,65000
2017-06-26,000660,SK하이닉스,67400
2017-07-10,000660,SK하이닉스,71100
2017-07-24,000660,SK하이닉스,64600
2017-09-11,000660,SK하이닉스,77200
2017-09-18,000660,SK하이닉스,83100
2017-09-25,000660,SK하이닉스,82900
2017-10-10,000660,SK하이닉스,86100
2018-03-12,000660,SK하이닉스,89800
2018-03-19,000660,SK하이닉스,83100
2018-05-21,000660,SK하이닉스,95200
2019-09-02,000660,SK하이닉스,81900
2019-09-09,000660,SK하이닉스,82600
2019-11-04,000660,SK하이닉스,82300
2019-11-18,000660,SK하이닉스,81700
2019-12-09,000660,SK하이닉스,87900
2019-12-16,000660,SK하이닉스,95000
2019-12-23,000660,SK하이닉스,96000
2019-12-30,000660,SK하이닉스,94500
2020-01-06,000660,SK하이닉스,98900
2020-01-13,000660,SK하이닉스,99000
2020-02-10,000660,SK하이닉스,104500
2020-02-17,000660,SK하이닉스,103000
2020-11-30,000660,SK하이닉스,115000
2020-12-07,000660,SK하이닉스,115500
2021-01-04,000660,SK하이닉스,138000
2021-01-11,000660,SK하이닉스,127500
2021-02-22,000660,SK하이닉스,141500
2021-03-02,000660,SK하이닉스,140000
2023-05-22,000660,SK하이닉스,109200
2023-05-30,000660,SK하이닉스,110300
2023-06-05,000660,SK하이닉스,115400
2023-06-12,000660,SK하이닉스,118900
2023-07-24,000660,SK하이닉스,128000
2023-10-16,000660,SK하이닉스,126200
2023-11-06,000660,SK하이닉스,130500
2023-11-13,000660,SK하이닉스,129900
2023-12-04,000660,SK하이닉스,127500
2023-12-11,000660,SK하이닉스,140000
2023-12-18,000660,SK하이닉스,140600
2024-01-22,000660,SK하이닉스,136000
2024-02-13,000660,SK하이닉스,146800
2024-02-19,000660,SK하이닉스,161400
2024-03-04,000660,SK하이닉스,171900
2024-03-25,000660,SK하이닉스,183000
2024-04-01,000660,SK하이닉스,182800
2024-04-08,000660,SK하이닉스,187400
2024-05-13,000660,SK하이닉스,189900
2024-05-20,000660,SK하이닉스,198600
2024-05-27,000660,SK하이닉스,189200
2024-06-10,000660,SK하이닉스,221000
2024-06-17,000660,SK하이닉스,234000
2024-07-08,000660,SK하이닉스,233000
2025-06-16,000660,SK하이닉스,259000
2025-06-23,000660,SK하이닉스,283500
2025-07-07,000660,SK하이닉스,292500
2025-09-08,000660,SK하이닉스,330000
2025-09-15,000660,SK하이닉스,353000
2025-09-29,000660,SK하이닉스,397500
2025-10-10,000660,SK하이닉스,426000
2025-10-13,000660,SK하이닉스,454500
2025-10-20,000660,SK하이닉스,513000
2025-10-27,000660,SK하이닉스,560000
2025-11-03,000660,SK하이닉스,572000
2025-11-10,000660,SK하이닉스,564000
2025-12-29,000660,SK하이닉스,678000
2026-01-05,000660,SK하이닉스,746000
2026-01-26,000660,SK하이닉스,904000
2026-02-19,000660,SK하이닉스,943000
2026-02-23,000660,SK하이닉스,1063000
2026-04-13,000660,SK하이닉스,1144000
2026-04-20,000660,SK하이닉스,1227000
2026-04-27,000660,SK하이닉스,1294000
2026-05-04,000660,SK하이닉스,1681000
2026-05-11,000660,SK하이닉스,1848000
2018-04-16,000720,현대건설,49039
2018-04-23,000720,현대건설,49039
2018-04-30,000720,현대건설,64121
2018-05-14,000720,현대건설,68110
2018-05-28,000720,현대건설,68207
2021-01-11,000720,현대건설,41644
2025-05-19,000720,현대건설,54900
2025-05-26,000720,현대건설,63300
2025-06-16,000720,현대건설,75500
2025-06-23,000720,현대건설,78500
2026-01-12,000720,현대건설,103900
2026-01-19,000720,현대건설,108200
2026-02-19,000720,현대건설,128000
2026-02-23,000720,현대건설,164000
2026-04-06,000720,현대건설,180200
2025-07-14,000810,삼성화재,468500
2026-02-23,000810,삼성화재,533000
2020-06-08,000880,한화,24650
2025-05-26,000880,한화,74600
2025-06-02,000880,한화,91200
2025-06-09,000880,한화,88400
2025-06-16,000880,한화,93600
2025-06-30,000880,한화,83400
2026-01-12,000880,한화,123900
2026-02-23,000880,한화,135800
2026-03-03,000880,한화,130700
2020-05-18,000910,유니온,7570
2020-07-20,000910,유니온,9100
2020-07-27,000910,유니온,9000
2023-04-24,000910,유니온,9030
2023-05-02,000910,유니온,9590
2020-12-21,000990,DB하이텍,42950
2020-12-28,000990,DB하이텍,51000
2021-01-04,000990,DB하이텍,54900
2021-01-11,000990,DB하이텍,59900
2021-01-18,000990,DB하이텍,69200
2021-11-22,000990,DB하이텍,72900
2022-01-10,000990,DB하이텍,84500
2023-03-27,000990,DB하이텍,72300
2023-04-03,000990,DB하이텍,75600
2025-11-10,000990,DB하이텍,67600
2026-04-20,000990,DB하이텍,149200
2026-04-27,000990,DB하이텍,159500
2026-05-04,000990,DB하이텍,165900
2026-05-11,000990,DB하이텍,164500
2022-04-11,001250,GS글로벌,3610
2022-04-18,001250,GS글로벌,4265
2022-04-25,001250,GS글로벌,4600
2022-05-02,001250,GS글로벌,4435
2024-06-24,001250,GS글로벌,4040
2021-03-08,001340,PKC,5403
2023-05-30,001340,PKC,10257
2023-06-05,001340,PKC,11821
2023-06-12,001340,PKC,10992
2015-05-18,001360,삼성제약,15084
2020-12-28,001360,삼성제약,5466
2024-12-16,001380,SG글로벌,8435
2022-04-04,001390,KG케미칼,7360
2022-04-18,001390,KG케미칼,9050
2023-04-17,001390,KG케미칼,11800
2025-12-15,001430,세아베스틸지주,43450
2021-05-31,001440,대한전선,27838
2021-06-07,001440,대한전선,26843
2024-04-29,001440,대한전선,13080
2024-05-07,001440,대한전선,14600
2024-05-13,001440,대한전선,18360
2024-05-20,001440,대한전선,19180
2025-06-09,001440,대한전선,15770
2025-06-16,001440,대한전선,16420
2025-06-23,001440,대한전선,16460
2025-10-13,001440,대한전선,17170
2025-10-20,001440,대한전선,18510
2025-10-27,001440,대한전선,24300
2025-11-03,001440,대한전선,24750
2026-01-12,001440,대한전선,25850
2026-01-19,001440,대한전선,27450
2026-01-26,001440,대한전선,29000
2026-02-02,001440,대한전선,30500
2026-02-23,001440,대한전선,36000
2026-04-13,001440,대한전선,39300
2026-04-20,001440,대한전선,42850
2026-04-27,001440,대한전선,56300
2026-05-04,001440,대한전선,72300
2026-05-11,001440,대한전선,60000
2026-02-23,001450,현대해상,34450
2026-02-19,001500,현대차증권,13810
2017-05-29,001510,SK증권,2619
2020-06-15,001510,SK증권,1772
2020-06-29,001510,SK증권,1826
2026-02-19,001510,SK증권,3742
2026-02-23,001510,SK증권,4254
2026-03-16,001510,SK증권,5175
2026-03-23,001510,SK증권,4144
2026-04-27,001510,SK증권,5230
2021-06-14,001520,동양,2165
2021-06-28,001520,동양,2150
2025-09-29,001520,동양,903
2020-12-14,001630,종근당홀딩스,137500
2026-05-11,001740,SK네트웍스,8720
2026-05-18,001740,SK네트웍스,8400
2023-06-26,001780,알루코,4410
2022-04-18,001790,대한제당,4200
2022-05-02,001790,대한제당,4545
2023-05-08,001790,대한제당,3525
2025-04-14,001790,대한제당,3370
2026-02-23,001820,삼화콘덴서,53400
2026-05-18,001820,삼화콘덴서,102000
2019-01-14,002100,경농,18350
2023-11-06,002100,경농,13350
2022-04-25,002140,고려산업,7220
2020-01-06,002360,SH에너지화학,12050
2021-05-03,002360,SH에너지화학,13150
2022-02-21,002360,SH에너지화학,12050
2019-05-20,002700,신일전자,2505
2021-07-19,002700,신일전자,2555
2023-04-10,002710,TCC스틸,42800
2023-07-24,002710,TCC스틸,64400
2020-04-06,002720,국제약품,6803
2020-07-20,002720,국제약품,10772
2020-08-18,002720,국제약품,10597
2024-03-18,002720,국제약품,7130
2018-04-02,002760,보락,3000
2020-09-14,002760,보락,2635
2022-05-02,002900,TYM,11854
2016-01-18,003000,부광약품,15337
2020-03-09,003000,부광약품,13866
2020-03-30,003000,부광약품,19797
2020-04-13,003000,부광약품,23096
2020-06-08,003000,부광약품,32535
2020-06-15,003000,부광약품,31825
2020-07-20,003000,부광약품,33370
2026-03-23,003000,부광약품,9600
2021-03-22,003010,혜인,7590
2022-05-30,003010,혜인,11150
2020-04-27,003060,에이프로젠바이오로직스,238925
2020-04-20,003090,대웅,19950
2020-06-08,003090,대웅,28600
2020-08-03,003090,대웅,31500
2020-08-10,003090,대웅,34250
2020-12-07,003090,대웅,49600
2020-12-14,003090,대웅,67300
2020-12-21,003090,대웅,47400
2015-11-30,003160,디아이,9480
2024-04-01,003160,디아이,15400
2024-04-08,003160,디아이,18940
2024-04-15,003160,디아이,21100
2024-06-03,003160,디아이,20300
2024-06-17,003160,디아이,25900
2024-06-24,003160,디아이,26600
2026-01-05,003160,디아이,28950
2020-07-20,003220,대원제약,25088
2021-08-17,003220,대원제약,19233
2024-07-15,003220,대원제약,16210
2024-05-20,003230,삼양식품,501000
2024-06-10,003230,삼양식품,647000
2024-06-17,003230,삼양식품,700000
2024-12-16,003230,삼양식품,748000
2025-05-12,003230,삼양식품,1174000
2025-07-07,003230,삼양식품,1468000
2025-08-25,003230,삼양식품,1573000
2016-09-05,003280,흥아해운,24256
2024-01-08,003280,흥아해운,4085
2024-01-15,003280,흥아해운,3990
2026-03-03,003280,흥아해운,2550
2026-03-16,003280,흥아해운,3030
2026-03-23,003280,흥아해운,2950
2026-03-30,003280,흥아해운,4090
2026-05-04,003470,유안타증권,7170
2020-11-09,003490,대한항공,18571
2020-11-16,003490,대한항공,18416
2021-01-11,003490,대한항공,24929
2021-01-25,003490,대한항공,28700
2021-05-24,003490,대한항공,31750
2021-05-31,003490,대한항공,33150
2021-06-07,003490,대한항공,34500
2025-06-23,003490,대한항공,23400
2016-03-28,003520,영진약품,3965
2016-04-04,003520,영진약품,4915
2016-04-25,003520,영진약품,8000
2016-05-09,003520,영진약품,9900
2016-05-16,003520,영진약품,15350
2016-05-23,003520,영진약품,12000
2020-07-20,003520,영진약품,8410
2020-08-31,003520,영진약품,11150
2020-09-07,003520,영진약품,9700
2021-03-29,003530,한화투자증권,4510
2026-02-09,003530,한화투자증권,7360
2026-02-19,003530,한화투자증권,9300
2020-12-21,003550,LG,80300
2021-01-04,003550,LG,99666
2026-05-11,003550,LG,129900
2019-11-18,003580,HLB글로벌,9910
2021-07-19,003580,HLB글로벌,28450
2021-07-26,003580,HLB글로벌,27550
2021-08-02,003580,HLB글로벌,31750
2021-08-09,003580,HLB글로벌,32150
2020-06-22,003620,KG모빌리티,18893
2023-04-24,003620,KG모빌리티,14796
2020-06-15,003670,포스코퓨처엠,69145
2020-08-03,003670,포스코퓨처엠,87341
2020-08-10,003670,포스코퓨처엠,84702
2020-12-07,003670,포스코퓨처엠,103230
2021-01-04,003670,포스코퓨처엠,126494
2021-02-15,003670,포스코퓨처엠,168174
2021-02-22,003670,포스코퓨처엠,153149
2022-09-13,003670,포스코퓨처엠,172051
2022-10-17,003670,포스코퓨처엠,181259
2022-10-24,003670,포스코퓨처엠,193860
2022-10-31,003670,포스코퓨처엠,203068
2022-11-07,003670,포스코퓨처엠,215185
2022-11-14,003670,포스코퓨처엠,217123
2023-02-06,003670,포스코퓨처엠,221970
2023-03-06,003670,포스코퓨처엠,239417
2023-03-13,003670,포스코퓨처엠,244748
2023-03-27,003670,포스코퓨처엠,264134
2023-04-03,003670,포스코퓨처엠,286913
2023-04-10,003670,포스코퓨처엠,331985
2023-04-17,003670,포스코퓨처엠,367849
2023-07-17,003670,포스코퓨처엠,475442
2023-07-24,003670,포스코퓨처엠,494343
2025-10-20,003670,포스코퓨처엠,239500
2025-10-27,003670,포스코퓨처엠,218000
2026-04-20,003670,포스코퓨처엠,250500
2026-04-27,003670,포스코퓨처엠,253500
2026-05-04,003670,포스코퓨처엠,289500
2021-03-15,003780,진양산업,6880
2021-03-22,003780,진양산업,9500
2020-11-23,003850,보령,15527
2021-01-11,003850,보령,18529
2018-05-28,004020,현대제철,61800
2021-01-04,004020,현대제철,46750
2021-04-26,004020,현대제철,55500
2021-05-10,004020,현대제철,55900
2025-06-30,004020,현대제철,34450
2026-02-23,004020,현대제철,47100
2023-10-10,004090,한국석유,15050
2024-04-15,004090,한국석유,21000
2024-06-03,004090,한국석유,19870
2025-06-16,004090,한국석유,16060
2026-03-03,004090,한국석유,23250
2021-01-11,004140,동방,5103
2021-02-08,004140,동방,7399
2021-02-15,004140,동방,10419
2025-07-14,004140,동방,3710
2021-09-06,004250,NPC,7080
2021-12-20,004250,NPC,9770
2022-04-18,004250,NPC,11200
2022-04-25,004250,NPC,11550
2020-10-12,004270,남성,36650
2020-11-02,004270,남성,37950
2018-02-12,004310,현대약품,7300
2020-06-08,004310,현대약품,7140
2020-12-21,004310,현대약품,7440
2026-02-09,004310,현대약품,14340
2025-09-08,004370,농심,513000
2021-02-15,004410,서울식품,3300
2021-02-22,004410,서울식품,3720
2021-03-08,004410,서울식품,4930
2021-01-25,004560,현대비앤지스틸,21500
2021-04-26,004560,현대비앤지스틸,26200
2020-08-18,004720,팜젠사이언스,21000
2015-12-21,004770,써니전자,6980
2017-03-27,004770,써니전자,7920
2017-04-03,004770,써니전자,8130
2019-12-30,004770,써니전자,5660
2020-01-06,004770,써니전자,6010
2022-01-03,004770,써니전자,6360
2020-11-09,004830,덕성,8460
2021-03-22,004830,덕성,16850
2021-03-29,004830,덕성,25950
2021-04-05,004830,덕성,27150
2021-05-31,004830,덕성,29150
2023-07-31,004830,덕성,9180
2023-08-07,004830,덕성,7840
2021-12-13,004980,성신양회,18250
2025-04-21,004980,성신양회,9470
