date,name,code,close,trading_value_billion
20260522,주성엔지니어링,036930,224000,14011
20260521,제주반도체,080220,117800,9492
20260521,심텍,222800,122400,3271
20260515,두산로보틱스,454910,132100,23767
20260514,제주반도체,080220,75600,7708
20260513,현대모비스,012330,668000,21727
20260513,두산테스나,131970,176100,2028
20260511,대한광통신,010170,27950,22534
20260511,한온시스템,018880,5730,8607
20260511,로보티즈,108490,387000,7917
20260508,현대오토에버,307950,592000,14900
20260508,두산퓨얼셀,336260,84100,4611
20260507,삼성E&A,028050,64900,21522
20260507,오이솔루션,138080,54000,2941
20260506,미래에셋증권,006800,86300,39224
20260506,SKC,011790,161200,9492
20260506,삼성물산,028260,384000,9493
20260506,두산퓨얼셀,336260,78700,6480
20260506,엑스게이트,356680,18230,5621
20260504,보성파워텍,006910,14350,6435
20260504,산일전기,062040,329000,15920
20260504,일진전기,103590,144600,7921
20260504,SK스퀘어,402340,999000,20766
20260430,대원전선,006340,15050,12718
20260430,산일전기,062040,263500,13910
20260429,대원전선,006340,13090,10491
20260428,넥스틸,092790,21600,3073
20260427,한미반도체,042700,376000,40298
20260427,한화엔진,082740,88500,6492
20260427,일진전기,103590,114400,3993
20260424,OCI홀딩스,010060,374500,9985
20260424,아주IB투자,027360,18720,6502
20260424,대주전자재료,078600,179600,6956
20260424,제주반도체,080220,54000,10969
20260424,고영,098460,42300,12208
20260424,대덕전자,353200,115200,2710
20260423,대원전선,006340,8140,10265
20260422,삼아알미늄,006110,73000,3203
20260422,이수페타시스,007660,160300,21647
20260422,LG이노텍,011070,522000,5991
20260422,아주IB투자,027360,14150,5301
20260422,미래에셋벤처투자,100790,57700,7626
20260422,두산테스나,131970,129500,2782
20260422,애경케미칼,161000,18700,7415
20260421,삼성SDI,006400,644000,35524
20260421,주성엔지니어링,036930,118900,11044
20260420,주성엔지니어링,036930,91500,8266
20260417,후성,093370,13630,11718
20260417,미래에셋벤처투자,100790,46300,10028
20260416,OCI홀딩스,010060,295500,8293
20260415,대한전선,001440,41250,16166
20260415,대우건설,047040,28500,25235
20260415,대주전자재료,078600,139900,2181
20260414,OCI홀딩스,010060,231000,3970
20260414,아주IB투자,027360,11330,3432
20260414,미래에셋벤처투자,100790,38900,2321
20260413,남선알미늄,008350,2865,5249
20260413,티엠씨,217590,31450,2721
20260410,대한광통신,010170,17770,15051
20260410,신성이엔지,011930,37850,5152
20260410,쏠리드,050890,17080,7648
20260409,광전자,017900,10530,3786
20260408,현대건설,000720,189400,20077
20260408,GS건설,006360,37400,11614
20260408,대우건설,047040,22550,19204
